source,date,count
A000273,14/02/23,140
A000273,15/02/23,142
A000273,16/02/23,140
A000273,17/02/23,140
A000273,18/02/23,140
A000273,19/02/23,140
A000273,20/02/23,140
A000273,21/02/23,138
A000284,02/02/23,52
A000284,03/02/23,48
A000284,04/02/23,52
A000284,05/02/23,56
A000284,06/02/23,50
A000284,07/02/23,45
A000284,08/02/23,45
A000284,09/02/23,52
A000284,10/02/23,47
A000284,11/02/23,59
A000284,12/02/23,55
A000284,13/02/23,43
A000284,14/02/23,51
A000284,15/02/23,52
A000284,16/02/23,58
A000284,17/02/23,43
A000284,18/02/23,43
A000284,19/02/23,63
A000284,20/02/23,49
A000284,21/02/23,49
A000285,02/02/23,6
A000285,05/02/23,6
A000285,07/02/23,6
A000307,02/02/23,6
A000307,05/02/23,6
A000307,07/02/23,6
A000501,02/02/23,6
A000501,03/02/23,12
A000501,04/02/23,6
A000501,05/02/23,6
A000501,06/02/23,6
A000501,07/02/23,6
A000501,08/02/23,6
A000501,09/02/23,6
A000501,10/02/23,6
A000501,11/02/23,6
A000501,12/02/23,6
A000501,13/02/23,6
A000501,14/02/23,6
A000501,15/02/23,6
A000501,16/02/23,18
A000501,17/02/23,6
A000501,18/02/23,6
A000501,19/02/23,6
A000501,20/02/23,6
A000501,21/02/23,12
A000505,02/02/23,50
A000505,03/02/23,48
A000505,04/02/23,52
A000505,05/02/23,44
A000505,06/02/23,48
A000505,07/02/23,43
A000505,08/02/23,45
A000505,09/02/23,52
A000505,10/02/23,45
A000505,11/02/23,51
A000505,12/02/23,53
A000505,13/02/23,43
A000505,14/02/23,45
A000505,15/02/23,52
A000505,16/02/23,58
A000505,17/02/23,42
A000505,18/02/23,43
A000505,19/02/23,51
A000505,20/02/23,49
A000505,21/02/23,45
A1801,02/02/23,1
A1801,03/02/23,1
A1801,04/02/23,1
A1801,08/02/23,2
A1801,09/02/23,2
A1801,10/02/23,2
A1801,11/02/23,1
A1801,13/02/23,1
A1801,14/02/23,2
A1801,15/02/23,2
A1801,16/02/23,2
A1801,17/02/23,1
A1801,18/02/23,1
A1801,19/02/23,1
A1801,20/02/23,1
A1801,21/02/23,2
ABAR01,03/02/23,2356
ABAR01,05/02/23,2501
ABAR01,07/02/23,1782
ABAR01,08/02/23,2524
ABAR01,09/02/23,2552
ABAR01,10/02/23,2420
ABAR01,12/02/23,2441
ABAR01,14/02/23,1715
ABAR01,15/02/23,1894
ABAR01,16/02/23,2552
ABAR01,17/02/23,2399
ABAR01,18/02/23,2523
ABAR01,21/02/23,2509
ABAR01,22/02/23,678
ABAR01,23/02/23,2425
ABAR01,24/02/23,2536
ABAR01,25/02/23,2533
ABAR01,28/02/23,1779
ABAR01,01/03/23,2545
ABAR01,02/03/23,2559
ABAR01,03/03/23,1755
ABAR01,05/03/23,1579
ABAR01,07/03/23,1837
ABAR01,08/03/23,1605
ABAR01,09/03/23,1608
ABAR01,10/03/23,1625
ABAR01,12/03/23,591
ABAR01,14/03/23,1643
ABAR01,15/03/23,1122
ABAR01,16/03/23,1787
ABAR01,17/03/23,1604
ABAR01,19/03/23,1593
ABAR01,21/03/23,1840
ABAR01,22/03/23,1617
ABAR01,23/03/23,1812
ABAR01,24/03/23,1598
ABAR01,25/03/23,1610
ABAR01,28/03/23,2080
ABAR01,29/03/23,2208
ABAR01,30/03/23,1716
ABAR01,31/03/23,1668
ABAR01,01/04/23,1187
ABAR01,02/04/23,1626
ABAR01,05/04/23,1762
ABAR01,06/04/23,1673
ABAR01,07/04/23,1598
ABAR01,08/04/23,1390
ABAR01,11/04/23,1848
ABAR01,12/04/23,647
ABAR01,13/04/23,2493
ABAR01,14/04/23,1576
ABAR01,16/04/23,1357
ABAR01,18/04/23,2562
ABAR01,19/04/23,1636
ABAR01,20/04/23,1639
ABAR01,21/04/23,1594
ABAR01,22/04/23,1560
ABAR01,25/04/23,1806
ABAR01,26/04/23,1099
ABAR01,27/04/23,2546
ABAR01,28/04/23,1662
ABAR01,30/04/23,1587
ABAR01,01/05/23,1768
ABAR01,02/05/23,598
ABAR01,03/05/23,1565
ABAR01,04/05/23,1588
ABAR01,05/05/23,1636
ABAR01,06/05/23,816
ABAR01,09/05/23,1803
ABAR01,10/05/23,1610
ABAR01,11/05/23,1590
ABAR01,12/05/23,1611
ABAR01,13/05/23,1578
ABAR01,16/05/23,1824
ABAR01,17/05/23,1552
ABAR01,18/05/23,1621
ABAR01,19/05/23,1644
ABAR01,20/05/23,1250
ABAR01,23/05/23,1866
ABAR01,24/05/23,668
ABAR01,25/05/23,2555
ABAR01,26/05/23,1846
ABAR01,27/05/23,709
ABAR01,30/05/23,2107
ABAR01,31/05/23,284
ABAR01,01/06/23,1670
ABAR01,02/06/23,1596
ABAR01,04/06/23,2495
ABAR01,06/06/23,1786
